,address_line1,city,food_type,food_type1,location,number_of_reviews,restaurant_name,review_score
204,Prince Miteb,Eastern_Province,"  , Asian, Korean", Asian,"Prince Miteb, Al Jubail Saudi Arabia",16, Silver Tower Jubail,4.0
205,Ainein Street,Eastern_Province,"  , Asian, Middle Eastern, Pakistani", Asian,"Ainein Street, Al Jubail Saudi Arabia",23, East N West,4.0
206,Zaid Ibn Al Khattab Street,Eastern_Province,"  , International", International,"Zaid Ibn Al Khattab Street, Ulaya Radisson Blu Hotel Dhahran, Dhahran 31952 Saudi Arabia",4, Al Ewan Restaurant,5.0
207,King Abdullah Road,Eastern_Province,", British", British,"King Abdullah Road, Al Hofuf, Al Ahsa 36365 Saudi Arabia",5,  Degrees Speciality Coffee,5.0
208,3rd Floor,Eastern_Province,"Seafood, Asian", Asian,"3rd Floor, Rashid Mall, Al Khobar 31952 Saudi Arabia",18," Soul Kitchen,",4.0
209,Price Faisal Bin Fahad Road,Eastern_Province,Restaurants,Restaurants,"Price Faisal Bin Fahad Road, Al Khobar Saudi Arabia",5, Rolls Rice,4.5
210,21st Al Ulaya,Eastern_Province,", Cafe", Cafe,"21st Al Ulaya, Al Khobar 34447 Saudi Arabia",5, Qaf Coffee Roasters,4.5
211,Al Corniche Road,Eastern_Province,  ,Restaurants,"Al Corniche Road, Al Khobar Saudi Arabia",29, Uptown ,3.5
212,Abu Huraira Street 7721,Eastern_Province,"  , Seafood, Contemporary, Arabic", Seafood,"Abu Huraira Street 7721, Dammam Saudi Arabia",8, Drwazt ALSAYYAD Seafood,4.0
213,Prince Sultan Road,Eastern_Province,Restaurants,Restaurants,"Prince Sultan Road, Al Khobar 34227 Saudi Arabia",8, Temperature,4.0
214,Prince Turkey Street,Eastern_Province,"  , Middle Eastern, Persian, Halal", Middle Eastern,"Prince Turkey Street, Al Khobar Saudi Arabia",21, Isfahani,3.5
215,Khaleej Road,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"Khaleej Road, Dammam Saudi Arabia",36, Shezan,3.5
216,Le Meridien Al Khobar,Eastern_Province,"  , French, Lebanese, Seafood", French,"Le Meridien Al Khobar, Corniche Road Corniche Al Khobar, Al Khobar 31952 Saudi Arabia",25, Le Cafe de Paris,4.0
217,Bashar Ibn Burd St,Eastern_Province,", Cafe", Cafe,"Bashar Ibn Burd St, Al Khobar 34448, Al Khobar Saudi Arabia",6, Haile Cafe,4.5
218,Abu Bakr Alsiddiq Street,Eastern_Province,"  , Middle Eastern", Middle Eastern,"Abu Bakr Alsiddiq Street, Dammam 32263 Saudi Arabia",19, Sama Deeraty,4.0
219,Prince Faisal Bin Fahad Road Al Khobar 34439,Eastern_Province,", Indian, Cafe, Spanish", Indian,"Prince Faisal Bin Fahad Road Al Khobar 34439, Al Khobar Saudi Arabia",9, Scratch Cafe,4.0
220,Al Khamis Road,Eastern_Province,"  , Seafood, International", Seafood,"Al Khamis Road, Al Jubail Saudi Arabia",16, Moonlight,3.5
221,5337 Al Ashriah Street,Eastern_Province,"  , Middle Eastern, International", Middle Eastern,"5337 Al Ashriah Street, Dammam 32414 Saudi Arabia",5, La Touche Restaurant & Cafe,4.5
222,King Abdulaziz Road,Eastern_Province,"Cafe, Middle Eastern, Vegetarian Friendly", Middle Eastern,"King Abdulaziz Road, Dhahran 32434 Saudi Arabia",25, Delle Rose,4.0
223,Prince Turky Street,Eastern_Province,"  , Asian, Japanese, Sushi", Asian,"Prince Turky Street, Al Khobar Cornich, Al Khobar Saudi Arabia",28, Orient,3.5
224,28 Street,Eastern_Province,"  , Mediterranean", Mediterranean,"28 Street, Gulf Road, Dammam 31413 Saudi Arabia",13, Janayen Restaurant and Catering,4.5
225,70 22nd Street Khobar North,Eastern_Province,  ,Restaurants,"70 22nd Street Khobar North, Al Khobar 34425 Saudi Arabia",15, Alkabsh Restaurant,4.0
227,prince Faisal bin Fahid Street,Eastern_Province,  ,Restaurants,"prince Faisal bin Fahid Street, Al Khobar 39105 Saudi Arabia",8, Assyria,4.5
228,Prince Faisal Street,Eastern_Province,"  , Middle Eastern", Middle Eastern,"Prince Faisal Street, Al Khobar Saudi Arabia",7, Manoosha,4.5
229,Al Rashid Mall,Eastern_Province,"  , Lebanese, Mediterranean", Lebanese,"Al Rashid Mall, Gate 1, Al Khobar Saudi Arabia",11, a Keifak,4.0
230,Prince Faisal Bin Fahd Road,Eastern_Province,Restaurants,Restaurants,"Prince Faisal Bin Fahd Road, Al Khobar Saudi Arabia",6, BurgerFuel,4.5
231,Prince Sultan Road,Eastern_Province,Restaurants,Restaurants,"Prince Sultan Road, Al Khobar 34227 Saudi Arabia",4, Velvet Lounge,5.0
232,Al Khobar Saudi Arabia,Eastern_Province,", Seafood", Seafood,Al Khobar Saudi Arabia,9, Shrimp Nation,4.0
233,6188 King Faisal Road,Eastern_Province,", Cafe", Cafe,"6188 King Faisal Road, Al Khobar 344233592 Saudi Arabia",7, Verocci Cafe,4.5
234,Al Khobar Saudi Arabia,Eastern_Province,  ,Restaurants,Al Khobar Saudi Arabia,20, SunRoom Cafe and Restaurant,3.5
235,King Abdullah Rd AlRawdha,Eastern_Province,"  , Italian, International, European", Italian,"King Abdullah Rd AlRawdha, Al Ahsa 31982 Saudi Arabia",7, Ajras sama,4.5
236,Prince Humod St,Eastern_Province,Japanese,Japanese,"Prince Humod St, Al Khobar Saudi Arabia",6, Masami Sushi,4.0
237,King Saud Street Al Mazruiyah,Eastern_Province,Restaurants,Restaurants,"King Saud Street Al Mazruiyah, Dammam 32414 Saudi Arabia",9, Okashi,4.0
238,Prince Turkey Street Corniche Near Saudi Telecom Company,Eastern_Province,"  , Italian", Italian,"Prince Turkey Street Corniche Near Saudi Telecom Company, Al Khobar Saudi Arabia",10, Trevi,4.0
239,Prince Mohammed Bin Fahd Road,Eastern_Province,"  , Pizza, Italian, American", Pizza,"Prince Mohammed Bin Fahd Road, Dhahran Saudi Arabia",6,  Portions Pizza,4.0
240,Al Khalij Rd,Eastern_Province,"  , Lebanese, Mediterranean, Armenian", Lebanese,"Al Khalij Rd, Al Mazrooa, Al Hofuf 36362, Al Hofuf, Al Ahsa 31982 Saudi Arabia",16, Ward ElDaar,4.0
241,Prince Metib road,Eastern_Province,"  , American, International, Arabic", American,"Prince Metib road, Dammam 31311 Saudi Arabia",7, Come To Momma,4.5
242,3685 Faisal Ibn FAhd Ibn ABdul Aziz,Eastern_Province,"  , Seafood, Middle Eastern", Seafood,"3685 Faisal Ibn FAhd Ibn ABdul Aziz, Al Ahsa Saudi Arabia",25, topaz,3.5
243,Rashed Mall Second Floor FK 02,Eastern_Province,"  , Fast Food, Grill", Fast Food,"Rashed Mall Second Floor FK 02, Al Khobar Saudi Arabia",9, IRANIAN FOOD RESTAURANT,4.0
244,Janadariyah Road,Eastern_Province,  ,Restaurants,"Janadariyah Road, Al Khafji Saudi Arabia",10, Burger House SA,4.0
245,King Saud rd,Eastern_Province,", Steakhouse, Latin, Spanish", Steakhouse,"King Saud rd, Al Khobar 31952 Saudi Arabia",3, Flame Latin Grill,5.0
246,Ar Rakah Ash Shamaliyah,Eastern_Province,"  , Italian, International, Contemporary", Italian,"Ar Rakah Ash Shamaliyah, Dammam 34255 Saudi Arabia",8, Tamu,5.0
247,King Aldul Aziz Road Al Khater Plaza,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"King Aldul Aziz Road Al Khater Plaza, Near Nesto Hyper Market, Al Jubail 31951 Saudi Arabia",50, GULFAAM-Garden of Flavours,3.5
248,10th Street Al Khobar Al Shamalia,Eastern_Province,"  , Italian, Pizza, European", Italian,"10th Street Al Khobar Al Shamalia, Al Khobar 34427 Saudi Arabia",15, la Gongola,4.0
249,Khaleej Rd. Albuhairah Plaza,Eastern_Province,Restaurants,Restaurants,"Khaleej Rd. Albuhairah Plaza, Dammam 32433 Saudi Arabia",6, Mystery,4.5
250,King Saud Branch Road,Eastern_Province,"  , International", International,"King Saud Branch Road, Dhahran Saudi Arabia",5, Dine,4.5
251,Alotaim Mall,Eastern_Province,", Middle Eastern", Middle Eastern,"Alotaim Mall, Al Ahsa Saudi Arabia",8, Restaurant Azal,4.0
252,Alwajeha Street,Eastern_Province,"  , Indian, Asian, Vegetarian Friendly", Indian,"Alwajeha Street, Al Jubail Saudi Arabia",30, Curry Gardens,4.0
253,4116 Al Al Amir Sultan Road Beside Ducato Motorcycles showroom,Eastern_Province,"  , Fast Food", Fast Food,"4116 Al Al Amir Sultan Road Beside Ducato Motorcycles showroom, Al Khobar 342356335 Saudi Arabia",13, The Hut Burger,3.5
254,Prince Turki Street,Eastern_Province,"Filipino, Bar, Cafe, Asian", Bar,"Prince Turki Street, Al Khobar Saudi Arabia",4, Drag Coffee,4.5
255,King abdulla Road,Eastern_Province,"Italian, International, Mediterranean, Arabic", International,"King abdulla Road, Dammam 32411 Saudi Arabia",3, Love and Peace Land,5.0
256,King Abdulaziz Road,Eastern_Province,Restaurants,Restaurants,"King Abdulaziz Road, Al Hofuf, Al Ahsa 36362 Saudi Arabia",3, The Crawley's Cafe,5.0
257,Ibn Batuta Street,Eastern_Province,", American, Arabic", American,"Ibn Batuta Street,, Dhahran Saudi Arabia",6, Broasted Bawan Land,4.5
258,Prince Faisal Bin Fahd Road Al Hizam Al Akhdar,Eastern_Province,"  , Italian, Pizza", Italian,"Prince Faisal Bin Fahd Road Al Hizam Al Akhdar, Al Khobar 34436 Saudi Arabia",7, Melenzane,4.0
259,Prince Talal Street,Eastern_Province,Restaurants,Restaurants,"Prince Talal Street, 17th Street, Al Khobar 31952 Saudi Arabia",5, Shajarat Aldurr,4.5
260,Corniche Road,Eastern_Province,"  , Turkish", Turkish,"Corniche Road, Al Khobar 31952 Saudi Arabia",12, Kosebasi,3.5
261,King Abdulaziz Street Jubail City - King Abdualaziz Street Front Of Port Round About,Eastern_Province,"  , Vegetarian Friendly", Vegetarian Friendly,"King Abdulaziz Street Jubail City - King Abdualaziz Street Front Of Port Round About, Al Jubail Saudi Arabia",11, Pattaya,4.0
