,address_line1,city,food_type,food_type1,location,number_of_reviews,restaurant_name,review_score
1432,Al-Tahlia Street,Riyadh,"  , Japanese, Sushi, Asian", Japanese,"Al-Tahlia Street, Riyadh Saudi Arabia",32, Agus,4.0
1433,3607 Prince Mohammed Bin Abdulaziz Street King Fahad Road,Riyadh,", Steakhouse, International, American", Steakhouse,"3607 Prince Mohammed Bin Abdulaziz Street King Fahad Road, Riyadh 12313 Saudi Arabia",36, Porterhouse,4.0
1434,47 Alamir Mamdouh Bin Abdulaziz St. As sulaymaniyah,Riyadh,"  , Indian, Asian, Vegan Options", Indian,"47 Alamir Mamdouh Bin Abdulaziz St. As sulaymaniyah, Riyadh Saudi Arabia",79, Makani Indian Cuisine,3.5
1435,Mosaad Alankry Street Suliemaniah,Riyadh,"  , American, Steakhouse, Halal", American,"Mosaad Alankry Street Suliemaniah, Riyadh Saudi Arabia",99, Steaky,3.5
1436,Riyadh Saudi Arabia,Riyadh,"Eastern European, Armenian", Armenian,Riyadh Saudi Arabia,11, Maward Restaurant,4.5
1437,3990 Anas Bin Malik Road,Riyadh,", Moroccan, Mediterranean, Vegetarian Friendly", Moroccan,"3990 Anas Bin Malik Road, Riyadh 13524 Saudi Arabia",20, Menara Lounge & Restaurant,4.5
1438,Al 7544 7766 Uthman Ibn Affan Road,Riyadh,"  , Fast Food", Fast Food,"Al 7544 7766 Uthman Ibn Affan Road, Riyadh 133174233 Saudi Arabia",26, Burgeronomy,4.0
1439,8494 King Abdul Aziz Road al Ghadir area,Riyadh,"  , Italian, Pizza, Vegetarian Friendly", Italian,"8494 King Abdul Aziz Road al Ghadir area, Riyadh 133114230 Saudi Arabia",42, Romano's Macaroni Grill,4.0
1440,Moosa Bin Nusair Street X,Riyadh,"  , Steakhouse, European", Steakhouse,"Moosa Bin Nusair Street X, Riyadh 00966 Saudi Arabia",31, Gala Steak Inn,4.0
1441,8023 Prince Ahmad Ibn Abdulaziz,Riyadh,", Cafe", Cafe,"8023 Prince Ahmad Ibn Abdulaziz, Riyadh 12254 Saudi Arabia",14, Delish Bakery مخبز ديلش,4.5
1442,Alia Plaza,Riyadh,"  , Vegetarian Friendly", Vegetarian Friendly,"Alia Plaza, Ath Thumamh Rd, Riyadh 13316 Saudi Arabia",27, Ihop,4.0
1443,21A Floor,Riyadh,", Halal", Halal,"21A Floor, Al Faisaliah Tower, King Fahad Road, Riyadh 11321 Saudi Arabia",85, L'Entrecote Cafe de Paris,3.5
1444,Prince Muhammad Bin Abdulaziz Rd,Riyadh,", Italian", Italian,"Prince Muhammad Bin Abdulaziz Rd,, Riyadh Saudi Arabia",17, La Casa Pasta,4.0
1445,8006 King Abdul Aziz Rd,Riyadh,", Cafe", Cafe,"8006 King Abdul Aziz Rd, Ar Rabi Riyadh 13315, Riyadh 13315 Saudi Arabia",13, RECIPE Cafe,4.5
1446,4 Al Kairawani Street,Riyadh,"  , French, International, Fusion", French,"4 Al Kairawani Street, Riyadh Saudi Arabia",27, Brasserie,4.5
1447,King Abdul Aziz Rd.,Riyadh,"  , Italian, Pizza", Italian,"King Abdul Aziz Rd., Riyadh 13312 Saudi Arabia",22, Ristorante Pizzeria Il Fornaretto,4.5
1448,9096 Al Ulaya,Riyadh,", Japanese, Sushi, Asian", Japanese,"9096 Al Ulaya,, Riyadh 11616 Saudi Arabia",15, Sushi Centro - Centro Waha,4.0
1449,7116 Jabbir bin Abdullah St,Riyadh,"  , Cafe, International", Cafe,"7116 Jabbir bin Abdullah St,, Riyadh 11554 Saudi Arabia",25, Bistro by Tao,4.0
1450,Al Dain Road Exit 16,Riyadh,"  , American", American,"Al Dain Road Exit 16, Riyadh Saudi Arabia",28, Applebee's Rimal Center,4.0
1451,Khuris Road,Riyadh,"  , Italian, American, International", Italian,"Khuris Road, Riyadh Saudi Arabia",9, Koshina Resturant,4.5
1452,Riyadh Saudi Arabia,Riyadh,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,Riyadh Saudi Arabia,41, Kababji,3.5
1453,7511 King Abdul Aziz Road Exit 5,Riyadh,"  , Barbecue, Portuguese, Halal", Barbecue,"7511 King Abdul Aziz Road Exit 5, Hay AL Nafl, Riyadh 133122222 Saudi Arabia",69, Veri Peri,3.5
1454,Tahlia- Centria Center,Riyadh,", French", French,"Tahlia- Centria Center, Riyadh Saudi Arabia",48, Le Notre,4.0
1455,Prince Turki Ibn Abdulaziz Al Awwal Rd,Riyadh,", Chinese, Asian, Vegetarian Friendly", Chinese,"Prince Turki Ibn Abdulaziz Al Awwal Rd, Hittin,, Riyadh 13513 Saudi Arabia",23, Toki Restaurant,4.5
1456,3607 Prince Mohammad Bin Abdulaziz Rd,Riyadh,"  , Middle Eastern, Halal", Middle Eastern,"3607 Prince Mohammad Bin Abdulaziz Rd, Riyadh Saudi Arabia",88, Bab Al Yemen,3.5
1457,Diplomatic Quarters,Riyadh,"  , Italian, Pizza, Vegetarian Friendly", Italian,"Diplomatic Quarters, Riyadh Saudi Arabia",26, Scalini,4.0
1458,Qurtubah 2874 Ad 3928 Ad Dammam Branch Road,Riyadh,"  , Seafood, American, Halal", Seafood,"Qurtubah 2874 Ad 3928 Ad Dammam Branch Road, Riyadh 132456081 Saudi Arabia",150, Red Lobster,3.5
1459,Prince Mohammed Ibn Abdul Aziz Road Tahalia Street,Riyadh,"  , Lebanese, Seafood, Mediterranean", Lebanese,"Prince Mohammed Ibn Abdul Aziz Road Tahalia Street, west of King Fahad, Riyadh Saudi Arabia",35, Al Sayad Seafood Place,4.0
1460,30,Riyadh,"  , Egyptian, Mediterranean", Egyptian,"30, Prince Sultan Road, Riyadh Saudi Arabia",9, Hamam Abdoh Restaurant,4.5
1461,Olaya District King Fahd Road Holiday Inn Riyadh - Al Qasr,Riyadh,"  , Seafood", Seafood,"Olaya District King Fahd Road Holiday Inn Riyadh - Al Qasr, Riyadh 11482 Saudi Arabia",17, Mozart Restaurant,4.0
1462,Al Ahmadi St. Taoun Block,Riyadh,"  , Turkish, Middle Eastern, Mediterranean", Turkish,"Al Ahmadi St. Taoun Block, Riyadh 12478 Saudi Arabia",37, Kosebasi,3.5
1463,Prince Mohammed Bin Abdulaziz Road,Riyadh,"Italian, Lebanese, Mediterranean, Grill", Lebanese,"Prince Mohammed Bin Abdulaziz Road, Riyadh Saudi Arabia",16, Goodies Restaurant,4.0
1464,Al-Batha Commercial Center,Riyadh,", Asian, Indian, Halal", Asian,"Al-Batha Commercial Center, Riyadh Saudi Arabia",14, Classic,4.5
1465,Al Jamea Street,Riyadh,"  , Italian, Chinese, Indian", Italian,"Al Jamea Street, Prince Fahd Ibn Ibrahim Al Saud Street, Riyadh 12642 Saudi Arabia",9, Unique Barbeque,4.5
1466,Riyadh Saudi Arabia,Riyadh,"  , Italian, Mediterranean", Italian,Riyadh Saudi Arabia,11, Fiamma,4.5
1467,King Abdulaziz Road,Riyadh,"  , Steakhouse, Turkish, Lebanese", Steakhouse,"King Abdulaziz Road, Riyadh 13312 Saudi Arabia",20, Beeves Burger & Steakhouse,4.0
1468,Northern Ring Branch Road,Riyadh,"  , French, Cafe, International", French,"Northern Ring Branch Road, Riyadh 13512 Saudi Arabia",10, The Organic Cafe,4.5
1469,Holiday inn,Riyadh,"  , Indian, Asian, Vegetarian Friendly", Indian,"Holiday inn, Riyadh Saudi Arabia",19, Sholay,4.0
1470,7004 Prince Mashari Ibn Abdulaziz,Riyadh,"  , Indian", Indian,"7004 Prince Mashari Ibn Abdulaziz, Riyadh 122424393 Saudi Arabia",11, Crown Garden,4.5
1471,Olaya St,Riyadh,"  , Italian, European, Pizza", Italian,"Olaya St, Riyadh 11491 Saudi Arabia",18, Da Pino,4.0
1472,Riyadh 11351 Saudi Arabia,Riyadh,", Indian, Asian, Vegetarian Friendly", Indian,Riyadh 11351 Saudi Arabia,21, Where East Meets West,4.0
1473,An Nafal King Abdul Aziz Branch Road,Riyadh,"  , Asian", Asian,"An Nafal King Abdul Aziz Branch Road, Riyadh 13312 Saudi Arabia",13, The Yellow Chilli,4.0
1474,Prince Sultan Street The District Al Faisaliah Mall - Mode Olaya Street,Riyadh,", Chinese, Asian", Chinese,"Prince Sultan Street The District Al Faisaliah Mall - Mode Olaya Street, Riyadh 11433 Saudi Arabia",6, Yauatcha Riyadh,5.0
1475,Olaya,Riyadh,"  , Barbecue, International", Barbecue,"Olaya, Thalateen st., Riyadh Saudi Arabia",48, bbq Chicken Restaurant,4.0
1476,King Muhammad V Tahlia,Riyadh,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"King Muhammad V Tahlia, Palazzo Center, Riyadh 12223 Saudi Arabia",27, Lamis,4.0
1477,3896 Prince Muqrin Ibn Abdulaziz Tamimi Plaza,Riyadh,"  , French, European", French,"3896 Prince Muqrin Ibn Abdulaziz Tamimi Plaza, Riyadh 12474 Saudi Arabia",13, Delicieuse Crepe,4.5
1478,Abdullah Al-Hamdan St.,Riyadh,"Arabic, Vegetarian Friendly", Vegetarian Friendly,"Abdullah Al-Hamdan St., Riyadh 12222 Saudi Arabia",14, Wadek,4.0
1479,34th Street,Riyadh,"  , Indian, Halal", Indian,"34th Street, Riyadh Saudi Arabia",49, Shezan Indian Restaurant,3.5
1480,Hanifa Valley Street Cross 90 St ,Riyadh,"  , Mediterranean, Middle Eastern, Lebanese", Mediterranean,"Hanifa Valley Street Cross 90 St ,King Fahad Road, Beside The Pancake House, Riyadh 13712 Saudi Arabia",56, Fairouz Garden,3.5
1481,Buraydah St. Khurais Rd. intersection,Riyadh,"  , Italian, Pizza, Vegetarian Friendly", Italian,"Buraydah St. Khurais Rd. intersection, Riyadh Saudi Arabia",120, Forchetta,3.5
1482,Abi Bakr As Siddiq Branch Rd,Riyadh,"  , Cafe", Cafe,"Abi Bakr As Siddiq Branch Rd, Al Wadi, Riyadh 13313 Saudi Arabia",13, Capio Diem,4.0
1483,Olaya street,Riyadh,", Lebanese, Middle Eastern, Fast Food", Lebanese,"Olaya street,Riyadh,Kingdom of Saudi Arabia, Riyadh Saudi Arabia",44, Yamal asham,3.5
1484,King Fahad Road,Riyadh,"  , Pakistani, Asian", Pakistani,"King Fahad Road, Riyadh Saudi Arabia",15, Spice Village,4.0
1485,Hilton Riyadh Hotel & Residences,Riyadh,", International, Mediterranean, Middle Eastern", International,"Hilton Riyadh Hotel & Residences, Riyadh 13241 Saudi Arabia",6, Teatro,4.5
1486,Prince Mamduh Ibn Abdulaziz Street As Sulimaniyah,Riyadh,"  , Pizza, Italian", Pizza,"Prince Mamduh Ibn Abdulaziz Street As Sulimaniyah, Riyadh 21955 Saudi Arabia",19, Pizza Hut,4.0
1487,King Fahad Road,Riyadh,"  , Chinese", Chinese,"King Fahad Road, Riyadh Saudi Arabia",15, Gulf Royal Chinese Restaurant,4.0
1488,3538 Prince Sultan Bin Abdulaziz Road,Riyadh,"  , Cafe, European", Cafe,"3538 Prince Sultan Bin Abdulaziz Road, Riyadh Saudi Arabia",9, Piedays,4.5
1489,Jarir Street Malaz,Riyadh,"  , Indian, Barbecue, Asian", Indian,"Jarir Street Malaz, Riyadh 11623 Saudi Arabia",32, Indian Corner,4.0
1490,Said Ibn Zayd Rd Opposite Herfy,Riyadh,"  , Chinese, Indian", Chinese,"Said Ibn Zayd Rd Opposite Herfy, Riyadh 13244 Saudi Arabia",6, Golden Chimney Restaurant,5.0
1491,Ash Shaikh Abdullah al Anqari Street Salah Uddien Area,Riyadh,"  , Indian, Asian, Vegetarian Friendly", Indian,"Ash Shaikh Abdullah al Anqari Street Salah Uddien Area, Riyadh Saudi Arabia",28, Indian Style,4.0
1492,266 Prince Mohamed Bin Abdul Aziz St Al Tahliya,Riyadh,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"266 Prince Mohamed Bin Abdul Aziz St Al Tahliya, Al Sulimania, Riyadh Saudi Arabia",95, Abdel Wahab,3.5
1493,2874 Prince Abdulaziz Ibn Musaid Ibn Jalawi St As Sulimaniyah,Riyadh,", Contemporary, Fusion, Middle Eastern", Contemporary,"2874 Prince Abdulaziz Ibn Musaid Ibn Jalawi St As Sulimaniyah, Riyadh Saudi Arabia",5, Takya,5.0
1494,Thalateen Thakhassusi St. Al Olaya,Riyadh,"  , Barbecue, Middle Eastern, Egyptian", Barbecue,"Thalateen Thakhassusi St. Al Olaya, Riyadh Saudi Arabia",36, Gad,4.0
1495,53,Riyadh,"  , Indian, Asian, Vegetarian Friendly", Indian,"53, Al Hawwari, Al Malaz, Riyadh 12812 Saudi Arabia",25, Almas Indian Restaurant,4.0
1496,Prince Muhammad Ibn Saad Ibn Abdulaziz Rd Riyadh Park Mall,Riyadh,"  , Steakhouse, Contemporary, Barbecue", Steakhouse,"Prince Muhammad Ibn Saad Ibn Abdulaziz Rd Riyadh Park Mall, Riyadh Saudi Arabia",26, Brisket,3.5
1497,King Abdul Aziz Road South,Riyadh,"  , Seafood, Middle Eastern, Mediterranean", Seafood,"King Abdul Aziz Road South, Riyadh Saudi Arabia",97, Amo Hamza,3.5
1498,Hitteen Plaza Exit 2,Riyadh,"  , Italian, Pizza", Italian,"Hitteen Plaza Exit 2, Riyadh Saudi Arabia",11, Oregano Pizzeria,4.0
1499,Panorama Mall ,Riyadh,", French", French,"Panorama Mall , Takhassusi St, Riyadh 11672 Saudi Arabia",10, Laduree Riyadh Panorama Mall,4.5
1500,Rubeen Plaza,Riyadh,"  , Arabic, Middle Eastern, Vegetarian Friendly", Arabic,"Rubeen Plaza, Riyadh Saudi Arabia",19, Azkadenya KSA,3.5
1501,King Fahad Branch road,Riyadh,", Lebanese, Mediterranean, Armenian", Lebanese,"King Fahad Branch road, Riyadh Saudi Arabia",14, Ekleel,4.5
1502,Al Hashimi Al Quds,Riyadh,", American", American,"Al Hashimi Al Quds, Riyadh 13214 Saudi Arabia",25, Burger King,3.5
1503,Imam Saud bin Faisal Rd,Riyadh,"  , American", American,"Imam Saud bin Faisal Rd, Riyadh 13521 Saudi Arabia",12, Tomahawk,4.0
1504,4376 Prince Muhammad Bin Abdulaziz Rd,Riyadh,"  , Japanese, Sushi, Asian", Japanese,"4376 Prince Muhammad Bin Abdulaziz Rd, Riyadh Saudi Arabia",29, Sushi Art,3.5
1505,Musa Bin Nusir ST,Riyadh,"  , Seafood", Seafood,"Musa Bin Nusir ST, Riyadh 11435 Saudi Arabia",23, Amohamza,4.0
1506,King Saud Road,Riyadh,"  , International", International,"King Saud Road, Al Wazarat District, Riyadh 11464 Saudi Arabia",8, Quick Bites,5.0
1507,Al Hamdan Street Near to Jazeera Shoping Market Sulaimania rd,Riyadh,"  , Chinese, Asian, Indian", Chinese,"Al Hamdan Street Near to Jazeera Shoping Market Sulaimania rd, Riyadh 11421 Saudi Arabia",19, Gate of Jazeera Palace,4.0
1508,Tahliah Street,Riyadh,"Italian, French, American, European", French,"Tahliah Street, Riyadh Saudi Arabia",12, Zero Four Restaurant,4.0
1509,intersection of eastern ring rd. with Makkah Kurais Rd.,Riyadh,"  , Steakhouse, Turkish", Steakhouse,"intersection of eastern ring rd. with Makkah Kurais Rd., Riyadh Saudi Arabia",7, Sultani Steakhouse,4.5
1510,King Abdul-Aziz Road,Riyadh,"  , American", American,"King Abdul-Aziz Road, Riyadh Saudi Arabia",14, Mooyah,4.0
1511,Wadi Aldawasir Street,Riyadh,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Wadi Aldawasir Street, 6 Olaya Main Road, Riyadh 11635 Saudi Arabia",25, Flamingo Restaurant,4.0
1512,Princ Sultan Bin Abdulaziz Rd,Riyadh,"  , Turkish", Turkish,"Princ Sultan Bin Abdulaziz Rd, Riyadh Saudi Arabia",9, Mikado House,4.0
1513,5058 Prince Muhammad Ibn Abdulaziz Branch Rd,Riyadh,", European", European,"5058 Prince Muhammad Ibn Abdulaziz Branch Rd, Near Dabab Crossing, Between Sabb Bank And Civil Defense Center, Riyadh 11243 Saudi Arabia",22, Verdure Restaurant,3.5
1514,Tahlia Street,Riyadh,", Arabic", Arabic,"Tahlia Street, Riyadh Saudi Arabia",19, Alkofeia,4.0
1515,Prince Muhammad Bin Abdulaziz Rd,Riyadh,"  , Italian", Italian,"Prince Muhammad Bin Abdulaziz Rd, Riyadh 12222 Saudi Arabia",11, Cioccolatitaliani,4.0
1516,King Abdullah Road,Riyadh,"  , Turkish", Turkish,"King Abdullah Road, Riyadh Saudi Arabia",7, Petek,4.5
1517,Al Howaishel Tower,Riyadh,"  , Middle Eastern", Middle Eastern,"Al Howaishel Tower, Wadi Al Artawi Street,, Riyadh Saudi Arabia",7, White Garden Cafe,4.5
1518,Al Olaya Street,Riyadh,"  , International", International,"Al Olaya Street, Riyadh 12241 Saudi Arabia",8, Caramel Lobby Lounge,4.5
1519,king Abdul Aziz Road,Riyadh,"  , Canadian", Canadian,"king Abdul Aziz Road, Riyadh Saudi Arabia",22, Le Gourmet Burger,3.5
1520,King Abdullah Road,Riyadh,"  , Seafood", Seafood,"King Abdullah Road, Riyadh Saudi Arabia",20, Darin Restaurant,4.0
1521,Riyadh Street,Riyadh,"  , Arabic", Arabic,"Riyadh Street, Riyadh Saudi Arabia",9, Kanafandi,4.5
1522,7617 Khalid Ibn Al Walid Street Ghirnatah,Riyadh,"Indian, Pakistani, Afghani", Pakistani,"7617 Khalid Ibn Al Walid Street Ghirnatah, Riyadh 13242 Saudi Arabia",7, Al Zalal Restaurant,4.5
1523,Al Mathar Ash Shamali,Riyadh,"Lebanese, Mediterranean, Arabic", Mediterranean,"Al Mathar Ash Shamali, Riyadh 12334 Saudi Arabia",8, Ward,4.5
1524,7013 At Takhassusi Branch Al Ourouba Road,Riyadh,", Italian, European", Italian,"7013 At Takhassusi Branch Al Ourouba Road, Riyadh 123413507 Saudi Arabia",18, Julia's Restaurant,4.0
1525,Khalid Ibn Yazid Ibn Muawiyah Al Olaya Al Olaya,Riyadh,", Mediterranean, European, Spanish", Mediterranean,"Khalid Ibn Yazid Ibn Muawiyah Al Olaya Al Olaya, Riyadh 66939 Saudi Arabia",28, Palmeras,4.0
1526,Exit -2 near King Saud University,Riyadh,"  , American", American,"Exit -2 near King Saud University, Riyadh 11481 Saudi Arabia",13, Mooyah Burgers Fries Shakes,4.0
1527,Olaya St,Riyadh,"  , Italian, Pizza", Italian,"Olaya St, Riyadh Saudi Arabia",59, The Pizza Company,3.5
1528,King Abdulaziz,Riyadh,"Chinese, Asian", Asian,"King Abdulaziz, Riyadh 13315 Saudi Arabia",15, Bistro Chino,4.0
1529,Othman bin Affan Street Waha DIstrict,Riyadh,"  , Japanese", Japanese,"Othman bin Affan Street Waha DIstrict, Riyadh Saudi Arabia",6, Bonzai Japanese Grill,4.5
1530,Al Sahmi Street Al Hada District,Riyadh,"  , International", International,"Al Sahmi Street Al Hada District, Riyadh 64819 Saudi Arabia",11," Olea Cafe, Kitchen & Lounge",4.0
1531,King Abdu Aziz road Sahara Mall,Riyadh,", Italian, Fast Food, Vegetarian Friendly", Italian,"King Abdu Aziz road Sahara Mall, Riyadh Saudi Arabia",25, Panino's restaurant,3.5
1532,2385 Olaya Street Riyadh,Riyadh,"  , American, International, Asian", American,"2385 Olaya Street Riyadh, Kingdom of Saudi Arabia 12611 - 9242 Inside Aloft Riyadh Hotel, Riyadh Saudi Arabia",14, Dish,4.0
1533,____ ____ __ ______ - __ _______,Riyadh,"  , Turkish", Turkish,"____ ____ __ ______ - __ _______, Riyadh Saudi Arabia",47, مطعم الفخار,3.5
1534,Riyadh Prince Turki Ibn Abdulaziz Al Awwal Rd,Riyadh,"  , Italian", Italian,"Riyadh Prince Turki Ibn Abdulaziz Al Awwal Rd, Riyadh 13512 Saudi Arabia",7, Le d'Or,4.5
1535,King Fahad Road Olaya Area,Riyadh,"  , International", International,"King Fahad Road Olaya Area, Riyadh Saudi Arabia",5, The View Restaurant,5.0
1536,Al Takhassousi on the corner right after the intersection with King Abdullah Street going north,Riyadh,", Middle Eastern, Lebanese, Mediterranean", Middle Eastern,"Al Takhassousi on the corner right after the intersection with King Abdullah Street going north, Riyadh Saudi Arabia",24, Manqosha,4.0
1537,King Abdullah Road Al Rahmaniya,Riyadh,"  , Fast Food, Middle Eastern, Persian", Fast Food,"King Abdullah Road Al Rahmaniya, Riyadh Saudi Arabia",28, Shayah Iranian Restaurant,3.5
1538,Al-'Olayya District,Riyadh,"  , Italian", Italian,"Al-'Olayya District, Riyadh Saudi Arabia",13, La Villa,4.0
1539,King Fahd Road Ar Rahmaniyah,Riyadh,"  , Italian, Pizza", Italian,"King Fahd Road Ar Rahmaniyah, Riyadh 12341 Saudi Arabia",27, Italian House,4.0
1540,Riyadh Saudi Arabia,Riyadh,"  , Pakistani, Asian, Middle Eastern", Pakistani,Riyadh Saudi Arabia,26, La Sani,3.5
1541,Jaber Bin Abdullah Street Nojood Mall,Riyadh,"  , American", American,"Jaber Bin Abdullah Street Nojood Mall, Riyadh 12712 Saudi Arabia",4, Buttermilk,5.0
1542,Mohamed 5 Street,Riyadh,"  , Mediterranean, Egyptian", Mediterranean,"Mohamed 5 Street, Riyadh Saudi Arabia",6, Qasr El Nil,4.5
1543,Olaya Road King Fahad Road,Riyadh,"Italian, Pizza", Pizza,"Olaya Road King Fahad Road, Riyadh Saudi Arabia",17, Cento Per Cento,4.0
1544,Al Dabab Street,Riyadh,"  , French", French,"Al Dabab Street, Riyadh Saudi Arabia",13, Cakery Shop,4.0
1545,4100 Northern Ring Rd,Riyadh,"  , Italian, Pizza, Seafood", Italian,"4100 Northern Ring Rd, Riyadh 13311 Saudi Arabia",5, Margherita,4.5
1546,Badiaa ,Riyadh,"  , Pizza, Fast Food", Pizza,"Badiaa , Al Ruwaishid Mall, Ruwaq Mall, Riyadh Saudi Arabia",12, Pastalita,4.0
1547,Prince Mohamad Bin Abdul Aziz,Riyadh,"  , Vegetarian Friendly", Vegetarian Friendly,"Prince Mohamad Bin Abdul Aziz, Riyadh Saudi Arabia",34, Waterlemon,3.5
1548,Takhasussi Street,Riyadh,"  , Mediterranean, Turkish, Middle Eastern", Mediterranean,"Takhasussi Street, Riyadh Saudi Arabia",17, Farouj Al Carawan Restaurant,4.0
1549,Othman Bin Affan Road,Riyadh,"  , International", International,"Othman Bin Affan Road, Al Nakheel Mall, Riyadh 11564 Saudi Arabia",8, Rice Creamery,4.0
1550,6137 King Abdul Aziz Rd,Riyadh,"  , French, International, European", French,"6137 King Abdul Aziz Rd, Exit 5, Riyadh 13312 2851 Saudi Arabia",4, PAUL Bakery & Restaurant,5.0
1551,Imam Saud Bin Abdulaziz Bin Mohammed Rd Ash Shuhada,Riyadh,"  , Chinese, Asian", Chinese,"Imam Saud Bin Abdulaziz Bin Mohammed Rd Ash Shuhada, Riyadh 13241 Saudi Arabia",39, PF Chang's,3.5
1552,Al Wazarat District Harra,Riyadh,"  , Pakistani, Indian, Asian", Pakistani,"Al Wazarat District Harra, Riyadh Saudi Arabia",43, Lahori Khabay,3.5
1553,Prince Mohammed Bin Abdulaziz S Localizer Mall,Riyadh,"  , Italian", Italian,"Prince Mohammed Bin Abdulaziz S Localizer Mall, Riyadh Saudi Arabia",16, Vapiano,4.0
1554,King Fahd Rd,Riyadh,", Pizza", Pizza,"King Fahd Rd,, Riyadh 13515 Saudi Arabia",12, Fatera Hat,4.0
1555,2385 Olaya Street Aloft Riyadh Hotel,Riyadh,"  , Cafe, Fast Food, Contemporary", Cafe,"2385 Olaya Street Aloft Riyadh Hotel, Riyadh Saudi Arabia",9, Re:fuel snack bar,4.0
1556,Umar Bin Abdulaziz St,Riyadh,"  , Cafe", Cafe,"Umar Bin Abdulaziz St, Riyadh Saudi Arabia",15, Can Cafe,3.5
1557,Thalatheen Street,Riyadh,"  , Middle Eastern, Lebanese, Mediterranean", Middle Eastern,"Thalatheen Street, Riyadh Saudi Arabia",30, Set Al Sham,3.5
1558,Prince Sultan Street,Riyadh,"  , International, Barbecue", International,"Prince Sultan Street, Beside Al Rifai, Riyadh Saudi Arabia",19, BBQ Restaurant,3.5
1559,King Abdul Aziz Road,Riyadh,"  , Seafood", Seafood,"King Abdul Aziz Road, North Exit 6, Riyadh Saudi Arabia",13, Salmon,4.0
1560,North squire ext 2,Riyadh,"  , American", American,"North squire ext 2, Riyadh Saudi Arabia",19, Applebee's Riyadh ! Al Nakheel Distrect,3.5
1561,Northern Ring Branch Road,Riyadh,"  , Turkish", Turkish,"Northern Ring Branch Road, Riyadh Saudi Arabia",16, Big Chefs,3.5
1562,Khaled bin Waleed Street Ghornatha district,Riyadh,"  , Italian, Cafe, International", Italian,"Khaled bin Waleed Street Ghornatha district, Riyadh Saudi Arabia",11, Arena Cafe,4.0
1563,King Abdullah Rd Corner Khalid Bin Walid St,Riyadh,"  , Italian", Italian,"King Abdullah Rd Corner Khalid Bin Walid St, Riyadh Saudi Arabia",17, Al Forno,4.0
1564,Riyadh Saudi Arabia,Riyadh,", American, Steakhouse, Barbecue", American,Riyadh Saudi Arabia,6, Charcoza Grill,4.5
1565,Mohammed Bin Abdul Aziz Road Ground Floor,Riyadh,"  , Pizza, Italian", Pizza,"Mohammed Bin Abdul Aziz Road Ground Floor, G4, Al Tahlya, Al Mas Plaza, Riyadh Saudi Arabia",14, California Pizza Kitchen,4.0
1566,King Fahad Road,Riyadh,"  , Cafe", Cafe,"King Fahad Road, Riyadh Saudi Arabia",4, Brewstars Cafe and Terrace,5.0
1567,4466 Kharis Branch Rd Ar Rawdah,Riyadh,"  , Italian, Pizza", Italian,"4466 Kharis Branch Rd Ar Rawdah,, Riyadh 13211 Saudi Arabia",12, Yellow Cab Pizza Co,3.5
1568,Saad Ibn Abi Waqas,Riyadh,"  , Chinese, Asian, Thai", Chinese,"Saad Ibn Abi Waqas, An Nasim Al Gharbi Riyadh, Riyadh 11322 Saudi Arabia",12, Indian Oven,4.0
1569,Hafsah Bint Omar Street.. Rodah Area 014451936,Riyadh,"  , Seafood", Seafood,"Hafsah Bint Omar Street.. Rodah Area 014451936, Riyadh Saudi Arabia",22, Myfish-Samakatee,4.0
1570,King Abdulaziz Road,Riyadh,"  , Turkish", Turkish,"King Abdulaziz Road, Riyadh Saudi Arabia",5, Noor Al Hanaa Restaurant,4.5
1571,Prince Muhammad Bin Abdulaziz Road Al Olaya,Riyadh,", Seafood", Seafood,"Prince Muhammad Bin Abdulaziz Road Al Olaya, Narcissus Hotel & Residence, Riyadh 12214 Saudi Arabia",6, The Cove Seafood Restaurant,4.5
1572,Prince Sultan Bin Abdulaziz street Cnr Of Prince Abdul Aziz Masjid,Riyadh,"  , Fast Food", Fast Food,"Prince Sultan Bin Abdulaziz street Cnr Of Prince Abdul Aziz Masjid, Riyadh 11564 Saudi Arabia",20, BurgerFuel Talateen Riyadh,3.5
1573,7633 King Abdul Aziz Road,Riyadh,"  , Italian, Pizza", Italian,"7633 King Abdul Aziz Road, Riyadh 133122154 Saudi Arabia",12, il Fornaretto,4.0
1574,9002,Riyadh,"Pizza, Fast Food", Fast Food,"9002, Hamzah Ibn Abdul Muttalib, Riyadh 12991 Saudi Arabia",7, Sbarro,4.5
1575,Khurais Road,Riyadh,"Italian, Chinese, American, Indian", Chinese,"Khurais Road, Riyadh 14212 Saudi Arabia",4, Madami,5.0
1576,King Abdulaziz Road,Riyadh,", Middle Eastern", Middle Eastern,"King Abdulaziz Road, Riyadh Saudi Arabia",22,  Shawarma,3.5
1577,King Abdulaziz Rd,Riyadh,"Cafe, International, Mediterranean, Middle Eastern", International,"King Abdulaziz Rd, Riyadh Saudi Arabia",8, Pan Breeza Lounge,4.0
